,MATCHID,DATE,SEASON,HOME,AWAY,W_HOME,W_AWAY,HOME_FG,AWAY_FG,HOME_FGA,AWAY_FGA,HOME_FG_PCT,AWAY_FG_PCT,HOME_FG3,AWAY_FG3,HOME_FG3A,AWAY_FG3A,HOME_FG3_PCT,AWAY_FG3_PCT,HOME_FT,AWAY_FT,HOME_FTA,AWAY_FTA,HOME_FT_PCT,AWAY_FT_PCT,HOME_OFF_REB,AWAY_OFF_REB,HOME_DEF_REB,AWAY_DEF_REB,HOME_TOT_REB,AWAY_TOT_REB,HOME_AST,AWAY_AST,HOME_STL,AWAY_STL,HOME_TURNOVERS,AWAY_TURNOVERS,HOME_BLK,AWAY_BLK,HOME_PTS,AWAY_PTS
31,0021700755,01/31/2018,2017-18,Hawks,Hornets,0,1,39,46,77,90,0.506,0.511,12,17,32,32,0.375,0.531,20,14,22,18,0.909,0.778,4,12,25,30,35,53,26,29,5,6,10,12,4,1,110,123
32,0021700739,01/29/2018,2017-18,Hawks,Timberwolves,1,0,39,39,79,83,0.494,0.47,13,7,34,19,0.382,0.368,14,15,16,18,0.875,0.833,8,7,36,28,49,40,27,24,8,15,21,14,8,5,105,100
33,0021700726,01/27/2018,2017-18,Hawks,Wizards,0,1,38,49,88,85,0.432,0.576,12,18,43,32,0.279,0.563,16,13,21,14,0.762,0.929,11,7,21,31,46,46,24,40,2,7,13,13,4,6,104,129
34,0021700714,01/26/2018,2017-18,Hornets,Hawks,1,0,40,37,88,79,0.455,0.468,13,15,34,30,0.382,0.5,28,21,32,25,0.875,0.84,11,6,32,33,51,47,25,23,13,6,11,21,8,5,121,110
35,0021700705,01/24/2018,2017-18,Hawks,Raptors,0,1,37,39,94,89,0.394,0.438,7,14,21,36,0.333,0.389,12,16,17,25,0.706,0.64,12,12,35,40,55,66,19,25,8,10,17,17,9,12,93,108
36,0021700688,01/22/2018,2017-18,Hawks,Jazz,1,0,40,33,83,76,0.482,0.434,12,4,26,15,0.462,0.267,12,20,12,28,1.0,0.714,10,7,34,32,47,47,24,20,8,8,18,17,5,6,104,90
37,0021700675,01/20/2018,2017-18,Hawks,Bulls,0,1,35,40,92,80,0.38,0.5,11,14,48,32,0.229,0.438,16,19,23,21,0.696,0.905,9,4,36,44,56,50,27,31,5,8,14,16,4,1,97,113
38,0021700654,01/17/2018,2017-18,Hawks,Pelicans,1,0,37,35,89,80,0.416,0.438,10,10,40,27,0.25,0.37,10,13,13,19,0.769,0.684,12,9,31,34,50,56,32,27,5,5,11,14,3,6,94,93
39,0021700641,01/15/2018,2017-18,Hawks,Spurs,1,0,40,37,86,87,0.465,0.425,9,8,25,22,0.36,0.364,13,17,14,20,0.929,0.85,11,8,39,29,54,46,23,24,8,12,15,9,2,5,102,99
40,0021700621,01/12/2018,2017-18,Hawks,Nets,0,1,37,40,80,87,0.463,0.46,11,13,28,34,0.393,0.382,20,17,26,26,0.769,0.654,8,13,38,30,55,50,21,29,6,8,18,15,3,1,105,110
41,0021700612,01/10/2018,2017-18,Nuggets,Hawks,0,1,38,40,95,80,0.4,0.5,9,12,37,27,0.243,0.444,12,18,20,18,0.6,1.0,14,6,26,38,54,51,27,25,13,6,12,16,6,4,97,110
42,0021700598,01/08/2018,2017-18,Clippers,Hawks,1,0,38,38,85,96,0.447,0.396,9,10,18,37,0.5,0.27,23,21,34,29,0.676,0.724,14,19,33,37,58,66,16,20,10,9,17,14,9,8,108,107
43,0021700590,01/07/2018,2017-18,Lakers,Hawks,1,0,48,41,86,94,0.558,0.436,16,12,36,34,0.444,0.353,20,19,25,23,0.8,0.826,6,10,43,27,56,44,32,22,13,5,18,15,6,4,132,113
44,0021700576,01/05/2018,2017-18,Trail Blazers,Hawks,1,0,43,30,80,83,0.538,0.361,13,8,30,26,0.433,0.308,11,21,14,25,0.786,0.84,6,11,38,28,50,47,30,14,11,7,18,16,5,5,110,89
45,0021700551,01/02/2018,2017-18,Suns,Hawks,1,0,39,36,77,87,0.506,0.414,7,10,22,31,0.318,0.323,19,21,26,25,0.731,0.84,11,17,36,23,55,45,24,18,7,11,22,16,4,3,104,103
46,0021700533,12/30/2017,2017-18,Hawks,Trail Blazers,1,0,40,36,89,85,0.449,0.424,14,7,30,25,0.467,0.28,10,10,15,13,0.667,0.769,13,15,32,31,53,53,29,19,12,9,13,20,3,8,104,89
47,0021700522,12/29/2017,2017-18,Raptors,Hawks,1,0,46,38,105,88,0.438,0.432,13,9,37,24,0.351,0.375,6,13,8,20,0.75,0.65,19,14,32,34,58,60,22,21,9,6,12,18,15,7,111,98
48,0021700508,12/27/2017,2017-18,Hawks,Wizards,1,0,41,35,94,81,0.436,0.432,11,9,37,24,0.297,0.375,20,20,29,26,0.69,0.769,16,9,37,31,65,49,28,24,7,6,12,14,7,5,113,99
49,0021700484,12/23/2017,2017-18,Hawks,Mavericks,1,0,42,43,75,85,0.56,0.506,10,9,24,33,0.417,0.273,18,12,22,15,0.818,0.8,6,7,32,23,43,39,29,31,5,8,15,11,2,3,112,107
50,0021700477,12/22/2017,2017-18,Thunder,Hawks,1,0,44,44,82,85,0.537,0.518,13,15,25,32,0.52,0.469,19,14,31,17,0.613,0.824,15,7,25,20,56,38,24,28,11,12,19,17,5,3,120,117
51,0021700455,12/20/2017,2017-18,Hawks,Pacers,0,1,35,40,81,82,0.432,0.488,8,7,29,21,0.276,0.333,17,18,20,19,0.85,0.947,11,8,32,29,50,42,27,19,5,5,14,10,6,5,95,105
52,0021700443,12/18/2017,2017-18,Hawks,Heat,1,0,38,36,83,79,0.458,0.456,8,7,22,25,0.364,0.28,26,25,31,30,0.839,0.833,10,8,29,34,47,51,25,19,8,9,13,19,6,6,110,104
53,0021700425,12/15/2017,2017-18,Grizzlies,Hawks,1,0,36,34,78,77,0.462,0.442,12,12,25,31,0.48,0.387,12,14,17,16,0.706,0.875,10,7,33,28,51,41,21,27,12,12,22,17,6,5,96,94
54,0021700413,12/14/2017,2017-18,Hawks,Pistons,0,1,32,41,70,90,0.457,0.456,11,13,31,30,0.355,0.433,16,10,26,12,0.615,0.833,7,14,27,32,42,57,28,26,6,10,17,15,6,3,91,105
55,0021700397,12/12/2017,2017-18,Cavaliers,Hawks,1,0,48,43,86,92,0.558,0.467,20,16,38,36,0.526,0.444,7,12,10,13,0.7,0.923,6,10,31,27,46,45,35,26,5,8,13,10,2,4,123,114
56,0021700390,12/10/2017,2017-18,Knicks,Hawks,1,0,39,37,80,77,0.488,0.481,5,9,17,31,0.294,0.29,28,24,34,30,0.824,0.8,6,6,27,29,45,48,16,22,9,5,12,16,4,4,111,107
57,0021700378,12/09/2017,2017-18,Hawks,Magic,1,0,41,45,80,92,0.513,0.489,17,13,33,34,0.515,0.382,18,7,25,8,0.72,0.875,9,10,31,29,47,47,33,39,7,7,12,12,6,2,117,110
58,0021700355,12/06/2017,2017-18,Magic,Hawks,1,0,46,40,98,93,0.469,0.43,6,11,28,27,0.214,0.407,12,15,18,20,0.667,0.75,13,11,39,38,60,56,17,25,9,7,17,19,7,3,110,106
59,0021700342,12/04/2017,2017-18,Hawks,Nets,0,1,30,41,82,85,0.366,0.482,9,15,30,36,0.3,0.417,21,13,27,15,0.778,0.867,9,12,29,40,46,58,18,29,9,7,18,24,2,6,90,110
60,0021700328,12/02/2017,2017-18,Nets,Hawks,0,1,34,47,82,99,0.415,0.475,17,10,42,27,0.405,0.37,17,10,21,14,0.81,0.714,12,13,34,34,54,54,26,18,1,12,19,10,8,5,102,114
61,0021700313,11/30/2017,2017-18,Hawks,Cavaliers,0,1,41,41,79,79,0.519,0.519,12,18,31,39,0.387,0.462,20,21,24,27,0.833,0.778,8,12,21,28,37,49,24,30,9,9,18,20,4,5,114,121
62,0021700280,11/25/2017,2017-18,Hawks,Raptors,0,1,26,46,75,84,0.347,0.548,6,13,27,32,0.222,0.406,20,7,23,9,0.87,0.778,7,11,25,35,41,51,18,31,9,10,19,16,1,3,78,112
63,0021700268,11/24/2017,2017-18,Hawks,Knicks,1,0,47,40,99,78,0.475,0.513,13,12,31,30,0.419,0.4,9,12,12,14,0.75,0.857,13,5,27,33,50,45,30,30,7,1,10,20,2,9,116,104
64,0021700256,11/22/2017,2017-18,Hawks,Clippers,0,1,40,44,83,76,0.482,0.579,10,15,29,30,0.345,0.5,13,13,15,19,0.867,0.684,9,6,27,27,42,41,26,30,10,7,15,17,2,4,103,116
65,0021700250,11/20/2017,2017-18,Spurs,Hawks,1,0,40,37,89,85,0.449,0.435,10,8,31,30,0.323,0.267,6,3,6,8,1.0,0.375,14,9,38,29,58,44,29,21,7,7,18,15,5,7,96,85
66,0021700230,11/18/2017,2017-18,Hawks,Celtics,0,1,37,39,78,82,0.474,0.476,9,16,24,34,0.375,0.471,16,16,20,20,0.8,0.8,6,9,29,32,43,49,24,21,7,9,14,15,1,6,99,110
67,0021700204,11/15/2017,2017-18,Hawks,Kings,1,0,50,31,79,88,0.633,0.352,16,6,32,28,0.5,0.214,10,12,16,20,0.625,0.6,9,11,44,18,61,39,40,18,9,12,19,12,6,2,126,80
68,0021700195,11/13/2017,2017-18,Pelicans,Hawks,1,0,41,40,75,87,0.547,0.46,13,17,33,36,0.394,0.472,11,8,17,9,0.647,0.889,7,10,31,26,46,42,31,25,10,14,19,16,5,1,106,105
69,0021700177,11/11/2017,2017-18,Wizards,Hawks,1,0,42,34,78,83,0.538,0.41,7,14,24,33,0.292,0.424,22,12,28,17,0.786,0.706,11,10,31,22,53,43,22,19,14,11,23,24,10,1,113,94
70,0021700169,11/10/2017,2017-18,Pistons,Hawks,1,0,39,44,89,89,0.438,0.494,12,8,30,24,0.4,0.333,21,8,27,11,0.778,0.727,20,11,31,34,56,48,23,28,7,11,17,16,5,7,111,104
71,0021700146,11/06/2017,2017-18,Hawks,Celtics,0,1,39,39,81,81,0.481,0.481,13,14,26,36,0.5,0.389,16,18,20,22,0.8,0.818,5,7,31,35,42,50,24,28,8,3,14,14,4,3,107,110
72,0021700136,11/05/2017,2017-18,Cavaliers,Hawks,0,1,42,41,96,86,0.438,0.477,10,11,36,25,0.278,0.44,21,24,23,34,0.913,0.706,15,11,32,33,55,56,27,24,6,4,13,17,6,6,115,117
73,0021700123,11/03/2017,2017-18,Hawks,Rockets,0,1,39,42,81,89,0.481,0.472,11,16,33,47,0.333,0.34,15,19,18,23,0.833,0.826,5,9,36,35,48,48,16,28,8,14,18,13,8,4,104,119
74,0021700107,11/01/2017,2017-18,76ers,Hawks,1,0,46,41,99,94,0.465,0.436,13,8,35,23,0.371,0.348,14,19,25,27,0.56,0.704,15,12,38,37,66,59,36,22,10,11,16,18,4,4,119,109
75,0021700085,10/29/2017,2017-18,Hawks,Bucks,0,1,36,44,77,81,0.468,0.543,13,13,29,26,0.448,0.5,21,16,26,21,0.808,0.762,3,5,28,38,41,47,27,30,9,9,16,14,2,3,106,117
76,0021700072,10/27/2017,2017-18,Hawks,Nuggets,0,1,37,42,89,91,0.416,0.462,14,4,33,20,0.424,0.2,12,17,12,23,1.0,0.739,11,11,32,35,45,62,23,25,7,8,12,12,4,4,100,105
77,0021700065,10/26/2017,2017-18,Bulls,Hawks,1,0,31,32,86,81,0.36,0.395,7,11,32,28,0.219,0.393,22,11,29,13,0.759,0.846,18,7,44,33,69,44,20,22,5,10,16,10,4,5,91,86
78,0021700042,10/23/2017,2017-18,Heat,Hawks,1,0,39,36,85,76,0.459,0.474,14,7,37,17,0.378,0.412,12,14,18,18,0.667,0.778,10,6,31,35,50,46,21,14,12,9,19,21,6,1,104,93
79,0021700038,10/22/2017,2017-18,Nets,Hawks,1,0,41,32,87,94,0.471,0.34,11,7,27,27,0.407,0.259,23,33,34,36,0.676,0.917,13,16,38,32,64,58,27,21,12,6,18,16,8,2,116,104
80,0021700017,10/20/2017,2017-18,Hornets,Hawks,1,0,37,36,86,95,0.43,0.379,11,7,36,30,0.306,0.233,24,12,30,14,0.8,0.857,12,6,45,32,67,49,17,19,5,11,21,13,4,4,109,91
81,0021700009,10/18/2017,2017-18,Mavericks,Hawks,0,1,38,48,86,94,0.442,0.511,17,9,45,18,0.378,0.5,18,12,21,15,0.857,0.8,9,14,32,36,46,54,27,20,5,11,16,13,4,6,111,117
82,0021701219,04/11/2018,2017-18,Celtics,Nets,1,0,46,37,102,91,0.451,0.407,6,11,24,40,0.25,0.275,12,12,15,16,0.8,0.75,20,10,42,34,68,49,22,27,6,10,14,16,6,6,110,97
83,0021701215,04/10/2018,2017-18,Wizards,Celtics,1,0,41,33,83,87,0.494,0.379,15,13,30,33,0.5,0.394,16,22,20,27,0.8,0.815,10,13,41,31,55,50,32,22,8,14,20,17,3,1,113,101
84,0021701185,04/06/2018,2017-18,Celtics,Bulls,1,0,45,40,81,86,0.556,0.465,14,14,34,30,0.412,0.467,7,10,17,17,0.412,0.588,6,9,40,34,53,46,35,25,9,15,18,17,6,0,111,104
85,0021701171,04/04/2018,2017-18,Raptors,Celtics,1,0,40,25,92,75,0.435,0.333,10,3,33,22,0.303,0.136,6,25,8,28,0.75,0.893,12,8,36,35,56,51,23,10,10,7,11,17,6,3,96,78
86,0021701162,04/03/2018,2017-18,Bucks,Celtics,1,0,43,38,79,81,0.544,0.469,5,7,20,23,0.25,0.304,15,19,21,24,0.714,0.792,9,10,32,27,48,42,27,19,6,10,15,17,5,6,106,102
87,0021701140,03/31/2018,2017-18,Celtics,Raptors,1,0,40,37,88,80,0.455,0.463,7,8,17,35,0.412,0.229,23,17,27,22,0.852,0.773,8,9,33,37,49,51,19,23,6,1,6,15,3,5,110,99
88,0021701121,03/28/2018,2017-18,Jazz,Celtics,0,1,34,35,82,79,0.415,0.443,9,12,33,21,0.273,0.571,17,15,21,20,0.81,0.75,12,11,33,31,53,48,25,20,7,11,16,18,6,2,94,97
89,0021701107,03/26/2018,2017-18,Suns,Celtics,0,1,36,37,81,87,0.444,0.425,12,14,35,29,0.343,0.483,10,14,19,14,0.526,1.0,11,10,36,34,55,49,18,24,8,10,17,12,5,3,94,102
90,0021701099,03/25/2018,2017-18,Kings,Celtics,0,1,38,40,82,72,0.463,0.556,7,12,26,22,0.269,0.545,10,12,10,17,1.0,0.706,7,3,27,32,39,42,18,23,7,9,14,16,1,2,93,104
91,0021701086,03/23/2018,2017-18,Trail Blazers,Celtics,0,1,40,35,91,77,0.44,0.455,8,11,33,18,0.242,0.611,12,24,15,26,0.8,0.923,11,9,32,36,49,49,16,22,8,5,8,13,5,4,100,105
92,0021701059,03/20/2018,2017-18,Celtics,Thunder,1,0,36,35,87,85,0.414,0.412,13,10,36,27,0.361,0.37,15,19,16,29,0.938,0.655,11,8,41,36,59,53,22,19,6,6,19,13,5,6,100,99
93,0021701047,03/18/2018,2017-18,Pelicans,Celtics,1,0,41,35,82,87,0.5,0.402,6,9,18,26,0.333,0.346,20,10,25,20,0.8,0.5,5,9,39,35,54,54,33,17,9,8,13,13,5,3,108,89
94,0021701029,03/16/2018,2017-18,Magic,Celtics,0,1,34,31,87,82,0.391,0.378,5,9,28,26,0.179,0.346,10,21,11,28,0.909,0.75,7,16,33,39,46,66,14,16,12,7,15,19,7,6,83,92
95,0021701017,03/14/2018,2017-18,Celtics,Wizards,0,1,48,46,99,97,0.485,0.474,12,12,26,32,0.462,0.375,16,21,23,28,0.696,0.75,10,13,34,39,55,61,30,29,9,10,17,20,5,6,124,125
96,0021700998,03/11/2018,2017-18,Celtics,Pacers,0,1,34,39,81,81,0.42,0.481,12,12,37,22,0.324,0.545,17,9,21,10,0.81,0.9,10,6,32,33,50,44,26,26,10,9,16,18,5,7,97,99
97,0021700974,03/08/2018,2017-18,Timberwolves,Celtics,0,1,44,43,94,87,0.468,0.494,12,11,31,32,0.387,0.344,9,20,13,27,0.692,0.741,13,9,34,37,51,54,24,28,3,7,13,11,3,2,109,117
98,0021700953,03/05/2018,2017-18,Bulls,Celtics,0,1,32,41,81,84,0.395,0.488,12,12,33,36,0.364,0.333,13,11,20,12,0.65,0.917,7,12,29,41,45,55,18,25,14,7,14,20,1,4,89,105
99,0021700939,03/03/2018,2017-18,Rockets,Celtics,1,0,39,44,87,91,0.448,0.484,19,13,49,24,0.388,0.542,26,19,30,21,0.867,0.905,10,10,30,28,50,51,24,22,11,6,11,13,5,3,123,120
100,0021700916,02/28/2018,2017-18,Celtics,Hornets,1,0,54,42,87,91,0.621,0.462,12,9,20,27,0.6,0.333,14,13,15,22,0.933,0.591,4,9,43,24,54,38,31,24,3,6,11,7,4,6,134,106
101,0021700898,02/26/2018,2017-18,Celtics,Grizzlies,1,0,39,34,86,78,0.453,0.436,12,5,37,23,0.324,0.217,19,25,27,32,0.704,0.781,9,5,35,35,54,52,25,27,5,4,8,10,5,2,109,98
102,0021700886,02/24/2018,2017-18,Knicks,Celtics,0,1,45,42,96,93,0.469,0.452,6,13,27,33,0.222,0.394,16,24,20,28,0.8,0.857,13,11,36,34,56,54,20,21,10,11,14,11,4,5,112,121
103,0021700873,02/23/2018,2017-18,Pistons,Celtics,0,1,37,41,85,85,0.435,0.482,10,17,33,39,0.303,0.436,14,11,21,18,0.667,0.611,12,10,33,32,54,52,16,30,4,8,13,11,4,5,98,110
104,0021700858,02/14/2018,2017-18,Celtics,Clippers,0,1,42,44,97,88,0.433,0.5,15,11,31,29,0.484,0.379,20,30,21,33,0.952,0.909,11,7,35,36,52,51,24,26,4,5,8,9,7,5,119,129
105,0021700835,02/11/2018,2017-18,Celtics,Cavaliers,0,1,36,45,89,84,0.404,0.536,10,16,38,30,0.263,0.533,17,15,22,20,0.773,0.75,13,5,30,36,54,48,22,22,3,7,15,11,4,6,99,121
106,0021700820,02/09/2018,2017-18,Celtics,Pacers,0,1,34,37,89,83,0.382,0.446,7,5,27,20,0.259,0.25,16,18,20,22,0.8,0.818,12,13,26,40,45,64,16,18,5,6,10,15,8,5,91,97
107,0021700813,02/08/2018,2017-18,Wizards,Celtics,0,1,38,39,95,84,0.4,0.464,12,9,26,26,0.462,0.346,16,23,20,34,0.8,0.676,17,7,35,38,60,57,28,16,11,9,22,18,4,6,104,110
108,0021700798,02/06/2018,2017-18,Raptors,Celtics,1,0,40,33,80,83,0.5,0.398,17,10,36,23,0.472,0.435,14,15,17,20,0.824,0.75,5,9,35,29,48,50,29,21,10,3,15,17,4,3,111,91
109,0021700784,02/04/2018,2017-18,Celtics,Trail Blazers,1,0,35,36,85,91,0.412,0.396,15,13,36,31,0.417,0.419,12,11,17,14,0.706,0.786,9,10,42,36,61,52,24,21,3,4,11,8,6,9,97,96
110,0021700758,01/31/2018,2017-18,Celtics,Knicks,1,0,40,28,83,87,0.482,0.322,11,3,26,17,0.423,0.176,12,14,20,21,0.6,0.667,5,9,44,35,64,53,27,16,8,4,10,14,3,4,103,73
111,0021700743,01/29/2018,2017-18,Nuggets,Celtics,0,1,42,43,93,91,0.452,0.473,10,17,33,36,0.303,0.472,16,8,21,10,0.762,0.8,15,10,32,30,58,48,31,28,4,4,11,11,3,6,110,111
112,0021700728,01/27/2018,2017-18,Warriors,Celtics,1,0,38,37,84,85,0.452,0.435,10,14,27,28,0.37,0.5,23,17,26,24,0.885,0.708,10,11,33,34,50,54,19,17,9,6,12,16,9,2,109,105
